iter	Passed	Remaining
0	152	152055
1	153	76844
2	156	51891
3	158	39355
4	159	31704
5	161	26784
6	163	23248
7	166	20647
8	168	18572
9	170	16897
10	172	15478
11	172	14213
12	173	13145
13	173	12235
14	176	11557
15	178	10962
16	179	10376
17	180	9823
18	181	9348
19	181	8917
20	182	8529
21	183	8170
22	184	7838
23	185	7546
24	186	7269
25	187	7017
26	188	6780
27	189	6565
28	190	6368
29	191	6183
30	192	6006
31	193	5840
32	194	5686
33	195	5541
34	195	5401
35	196	5265
36	197	5135
37	198	5017
38	198	4903
39	199	4796
40	200	4692
41	201	4589
42	201	4492
43	202	4402
44	203	4312
45	203	4226
46	204	4146
47	205	4073
48	206	3999
49	206	3929
50	207	3862
51	208	3797
52	209	3736
53	209	3677
54	210	3617
55	211	3560
56	211	3502
57	212	3447
58	212	3395
59	213	3346
60	214	3298
61	214	3251
62	215	3204
63	216	3159
64	216	3116
65	217	3075
66	217	3034
67	218	2994
68	219	2956
69	219	2919
70	220	2886
71	221	2853
72	222	2821
73	222	2788
74	223	2756
75	224	2725
76	224	2695
77	225	2665
78	226	2635
79	226	2606
80	227	2579
81	227	2551
82	228	2521
83	228	2495
84	229	2471
85	230	2446
86	230	2422
87	231	2398
88	232	2376
89	232	2355
90	233	2333
91	234	2311
92	235	2292
93	236	2275
94	236	2257
95	237	2239
96	238	2219
97	239	2200
98	239	2181
99	240	2161
100	240	2142
101	241	2124
102	241	2106
103	242	2088
104	242	2070
105	243	2053
106	244	2036
107	244	2020
108	245	2004
109	245	1988
110	246	1973
111	246	1957
112	247	1942
113	248	1928
114	248	1913
115	249	1898
116	249	1883
117	250	1870
118	250	1858
119	251	1846
120	252	1834
121	252	1820
122	253	1807
123	254	1795
124	254	1782
125	255	1769
126	255	1757
127	256	1745
128	256	1733
129	257	1722
130	257	1710
131	258	1699
132	259	1688
133	259	1677
134	260	1667
135	260	1657
136	261	1646
137	261	1636
138	262	1626
139	263	1616
140	263	1606
141	264	1596
142	264	1587
143	265	1578
144	266	1570
145	267	1563
146	268	1555
147	268	1547
148	269	1540
149	270	1533
150	271	1526
151	272	1520
152	273	1512
153	273	1504
154	274	1496
155	274	1487
156	275	1479
157	276	1471
158	276	1463
159	277	1455
160	277	1447
161	278	1439
162	278	1432
163	279	1425
164	280	1418
165	280	1410
166	281	1405
167	282	1398
168	283	1392
169	284	1386
170	284	1381
171	286	1376
172	287	1371
173	287	1366
174	288	1362
175	289	1356
176	290	1349
177	290	1342
178	291	1336
179	291	1329
180	292	1323
181	293	1318
182	293	1311
183	294	1305
184	294	1299
185	295	1293
186	296	1288
187	297	1283
188	298	1278
189	298	1273
190	299	1268
191	300	1263
192	301	1259
193	302	1254
194	302	1250
195	303	1245
196	304	1240
197	304	1235
198	305	1229
199	306	1224
200	306	1219
201	307	1213
202	307	1208
203	308	1203
204	308	1197
205	309	1192
206	309	1187
207	310	1182
208	311	1177
209	312	1173
210	312	1170
211	313	1165
212	314	1161
213	315	1157
214	316	1154
215	317	1150
216	317	1147
217	318	1143
218	319	1139
219	320	1134
220	320	1130
221	321	1125
222	321	1121
223	322	1117
224	323	1112
225	323	1108
226	324	1104
227	324	1099
228	325	1095
229	326	1091
230	326	1088
231	327	1085
232	328	1081
233	329	1078
234	330	1075
235	331	1071
236	331	1068
237	332	1064
238	333	1060
239	333	1056
240	334	1053
241	335	1049
242	335	1045
243	336	1041
244	336	1037
245	337	1033
246	337	1029
247	338	1026
248	338	1022
249	339	1018
250	340	1014
251	340	1011
252	341	1008
253	342	1005
254	343	1002
255	344	1000
256	345	999
257	346	997
258	347	994
259	348	991
260	349	989
261	350	986
262	350	982
263	351	979
264	351	975
265	352	972
266	353	969
267	353	965
268	354	962
269	354	959
270	355	955
271	355	952
272	356	949
273	357	946
274	358	944
275	359	943
276	360	941
277	361	938
278	362	936
279	363	934
280	364	932
281	364	929
282	365	925
283	366	923
284	366	920
285	367	917
286	367	913
287	368	910
288	369	907
289	369	904
290	370	901
291	370	898
292	371	896
293	372	894
294	373	892
295	374	891
296	375	889
297	376	887
298	377	884
299	378	882
300	378	879
301	379	876
302	379	873
303	380	870
304	381	868
305	381	865
306	382	862
307	382	860
308	383	857
309	383	854
310	384	851
311	385	849
312	385	846
313	386	843
314	387	841
315	388	839
316	388	837
317	390	837
318	391	835
319	391	832
320	392	830
321	393	827
322	393	825
323	394	822
324	394	820
325	395	817
326	396	815
327	396	812
328	397	810
329	397	807
330	398	805
331	398	802
332	399	800
333	400	797
334	400	795
335	401	792
336	401	790
337	402	788
338	403	786
339	403	784
340	404	781
341	405	779
342	405	777
343	406	775
344	407	772
345	407	770
346	408	768
347	408	766
348	409	763
349	410	761
350	410	759
351	411	757
352	411	754
353	412	752
354	412	750
355	413	747
356	413	745
357	414	743
358	415	741
359	415	738
360	416	737
361	417	735
362	417	733
363	418	731
364	419	730
365	420	729
366	422	727
367	423	726
368	423	724
369	424	722
370	425	721
371	426	719
372	426	717
373	427	716
374	428	714
375	429	712
376	430	710
377	430	709
378	431	707
379	432	705
380	433	703
381	433	701
382	434	700
383	435	698
384	436	696
385	437	695
386	437	693
387	438	691
388	439	689
389	440	688
390	440	686
391	441	684
392	441	682
393	442	680
394	443	678
395	443	676
396	444	674
397	444	672
398	445	670
399	445	668
400	446	666
401	447	665
402	447	663
403	448	661
404	449	660
405	449	658
406	450	656
407	450	654
408	451	652
409	452	650
410	452	648
411	453	646
412	453	644
413	454	643
414	454	641
415	455	639
416	456	637
417	456	635
418	457	634
419	457	632
420	458	630
421	459	628
422	459	626
423	460	625
424	460	623
425	461	621
426	461	619
427	462	618
428	463	616
429	464	615
430	464	613
431	465	612
432	466	610
433	466	608
434	467	607
435	468	605
436	468	604
437	469	602
438	470	601
439	470	599
440	471	597
441	472	595
442	472	594
443	473	592
444	473	590
445	474	589
446	474	587
447	475	585
448	475	584
449	476	582
450	477	580
451	477	579
452	478	577
453	479	576
454	480	575
455	481	574
456	482	572
457	482	571
458	483	569
459	484	568
460	484	566
461	485	565
462	486	563
463	486	562
464	487	560
465	487	559
466	488	557
467	488	555
468	489	554
469	490	552
470	490	551
471	491	549
472	491	547
473	492	546
474	493	545
475	493	543
476	494	542
477	495	540
478	496	539
479	497	538
480	497	537
481	498	535
482	499	534
483	499	532
484	500	531
485	501	530
486	501	528
487	502	527
488	503	525
489	503	524
490	504	522
491	504	521
492	505	519
493	505	518
494	506	516
495	507	515
496	507	513
497	508	512
498	509	511
499	509	509
500	510	508
501	510	506
502	511	505
503	511	503
504	512	502
505	513	500
506	513	499
507	514	498
508	514	496
509	515	495
510	515	493
511	516	492
512	517	490
513	517	489
514	518	488
515	518	486
516	519	485
517	519	483
518	520	482
519	521	480
520	521	479
521	522	478
522	522	476
523	523	475
524	523	474
525	524	473
526	525	471
527	526	470
528	527	469
529	527	468
530	528	466
531	529	465
532	529	464
533	530	462
534	531	461
535	531	460
536	532	458
537	532	457
538	533	456
539	533	454
540	534	453
541	535	452
542	535	450
543	536	449
544	536	448
545	537	446
546	537	445
547	538	444
548	539	443
549	540	441
550	540	440
551	541	439
552	541	438
553	542	436
554	543	435
555	543	434
556	544	432
557	544	431
558	545	430
559	545	428
560	546	427
561	546	426
562	547	424
563	547	423
564	548	422
565	549	421
566	549	419
567	550	418
568	550	417
569	551	415
570	551	414
571	552	413
572	553	412
573	554	411
574	555	410
575	556	409
576	556	408
577	557	407
578	558	405
579	558	404
580	559	403
581	560	402
582	560	401
583	561	399
584	562	398
585	562	397
586	563	396
587	563	394
588	564	393
589	564	392
590	565	391
591	565	389
592	566	388
593	566	387
594	567	386
595	568	385
596	568	383
597	569	382
598	570	382
599	571	381
600	572	380
601	573	379
602	574	378
603	575	377
604	576	376
605	576	375
606	577	374
607	578	372
608	578	371
609	579	370
610	580	369
611	580	368
612	581	366
613	581	365
614	582	364
615	582	363
616	583	362
617	584	361
618	585	360
619	586	359
620	587	358
621	588	357
622	589	356
623	590	356
624	591	354
625	592	353
626	593	352
627	593	351
628	594	350
629	595	349
630	596	348
631	596	347
632	597	346
633	597	345
634	598	344
635	599	343
636	600	342
637	601	341
638	602	340
639	603	339
640	604	338
641	605	337
642	606	336
643	606	335
644	607	334
645	607	333
646	608	331
647	608	330
648	609	329
649	610	328
650	610	327
651	611	326
652	611	325
653	612	323
654	612	322
655	613	321
656	614	320
657	614	319
658	616	318
659	617	318
660	618	316
661	619	316
662	619	315
663	620	314
664	621	313
665	622	311
666	622	310
667	623	309
668	623	308
669	624	307
670	624	306
671	625	305
672	626	304
673	626	303
674	627	302
675	627	300
676	628	299
677	629	298
678	630	298
679	631	297
680	632	296
681	633	295
682	634	294
683	634	293
684	635	292
685	635	291
686	636	289
687	636	288
688	637	287
689	638	286
690	638	285
691	639	284
692	639	283
693	640	282
694	640	281
695	641	280
696	642	279
697	642	278
698	643	276
699	643	275
700	644	275
701	645	273
702	646	272
703	646	271
704	647	270
705	647	269
706	648	268
707	649	267
708	650	266
709	650	265
710	651	264
711	651	263
712	652	262
713	653	261
714	653	260
715	654	259
716	654	258
717	655	257
718	655	256
719	656	255
720	657	254
721	657	253
722	658	252
723	658	251
724	659	250
725	660	249
726	661	248
727	661	247
728	662	246
729	662	245
730	663	244
731	664	243
732	664	242
733	665	241
734	665	240
735	666	239
736	666	237
737	667	236
738	668	235
739	668	234
740	669	233
741	669	232
742	670	231
743	670	230
744	671	229
745	671	228
746	672	227
747	673	226
748	673	225
749	674	224
750	675	223
751	676	223
752	677	222
753	677	221
754	678	220
755	679	219
756	680	218
757	680	217
758	681	216
759	681	215
760	682	214
761	682	213
762	683	212
763	683	211
764	684	210
765	685	209
766	685	208
767	686	207
768	686	206
769	687	205
770	687	204
771	688	203
772	688	202
773	689	201
774	690	200
775	691	199
776	691	198
777	692	197
778	693	196
779	693	195
780	694	194
781	694	193
782	695	192
783	696	191
784	696	190
785	697	189
786	697	188
787	698	187
788	698	186
789	699	185
790	700	184
791	700	184
792	701	183
793	701	182
794	702	181
795	702	180
796	703	179
797	704	178
798	704	177
799	705	176
800	705	175
801	706	174
802	707	173
803	707	172
804	708	171
805	709	170
806	709	169
807	710	168
808	710	167
809	711	166
810	711	165
811	712	164
812	712	163
813	713	163
814	713	162
815	714	161
816	715	160
817	715	159
818	716	158
819	716	157
820	717	156
821	717	155
822	718	154
823	719	153
824	719	152
825	720	151
826	721	150
827	721	149
828	722	149
829	723	148
830	723	147
831	724	146
832	724	145
833	725	144
834	725	143
835	726	142
836	727	141
837	727	140
838	728	139
839	728	138
840	729	137
841	729	136
842	730	136
843	731	135
844	731	134
845	732	133
846	732	132
847	733	131
848	733	130
849	734	129
850	735	128
851	735	127
852	736	126
853	737	126
854	737	125
855	738	124
856	738	123
857	739	122
858	740	121
859	740	120
860	741	119
861	741	118
862	742	117
863	742	116
864	743	116
865	744	115
866	744	114
867	745	113
868	745	112
869	746	111
870	746	110
871	747	109
872	748	108
873	748	107
874	749	107
875	749	106
876	750	105
877	751	104
878	751	103
879	752	102
880	753	101
881	753	100
882	754	99
883	754	99
884	755	98
885	756	97
886	756	96
887	757	95
888	757	94
889	758	93
890	759	92
891	759	91
892	760	91
893	760	90
894	761	89
895	761	88
896	762	87
897	762	86
898	763	85
899	764	84
900	764	84
901	765	83
902	765	82
903	766	81
904	767	80
905	768	79
906	769	78
907	769	77
908	770	77
909	770	76
910	771	75
911	772	74
912	772	73
913	773	72
914	773	71
915	774	71
916	774	70
917	775	69
918	776	68
919	776	67
920	777	66
921	777	65
922	778	64
923	778	64
924	779	63
925	780	62
926	780	61
927	781	60
928	782	59
929	783	58
930	783	58
931	784	57
932	785	56
933	785	55
934	786	54
935	787	53
936	787	52
937	788	52
938	788	51
939	789	50
940	789	49
941	790	48
942	790	47
943	791	46
944	792	46
945	792	45
946	793	44
947	794	43
948	794	42
949	795	41
950	795	41
951	796	40
952	797	39
953	798	38
954	798	37
955	799	36
956	799	35
957	800	35
958	801	34
959	801	33
960	802	32
961	802	31
962	803	30
963	803	30
964	804	29
965	805	28
966	805	27
967	806	26
968	806	25
969	807	24
970	808	24
971	808	23
972	809	22
973	809	21
974	810	20
975	811	19
976	812	19
977	812	18
978	813	17
979	814	16
980	814	15
981	815	14
982	815	14
983	816	13
984	816	12
985	817	11
986	818	10
987	818	9
988	819	9
989	819	8
990	820	7
991	820	6
992	821	5
993	821	4
994	822	4
995	823	3
996	823	2
997	824	1
998	824	0
999	825	0
